Ticker,month,monthly_return
BAJFINANCE,2023-11,-0.04684216865857413
SBIN,2023-11,-0.002913135593220299
CIPLA,2023-11,0.00919875130072837
NESTLEIND,2023-11,0.015222408860330062
ITC,2023-11,0.017986451763606606
HDFCLIFE,2023-12,-0.0519680422194531
MARUTI,2023-12,-0.026771965954070248
AXISBANK,2023-12,-0.0021273706603902923
BAJAJFINSV,2023-12,-8.897061004187012e-05
SBILIFE,2023-12,0.006286657535208666
HDFCBANK,2024-01,-0.13871385666332958
ASIANPAINT,2024-01,-0.12904508112246402
HDFCLIFE,2024-01,-0.11114536765839374
NESTLEIND,2024-01,-0.08447925647732746
JSWSTEEL,2024-01,-0.06717183226982686
HINDALCO,2024-02,-0.11798687089715532
ITC,2024-02,-0.08263716414540521
KOTAKBANK,2024-02,-0.07313125771499106
INDUSINDBK,2024-02,-0.04298737955422898
HDFCBANK,2024-02,-0.042929723463020306
INFY,2024-03,-0.0946697286517194
TATACONSUM,2024-03,-0.08726586077251192
WIPRO,2024-03,-0.07513003274898863
HCLTECH,2024-03,-0.06115808040873424
HINDUNILVR,2024-03,-0.06031871187284721
HCLTECH,2024-04,-0.12211729941543016
KOTAKBANK,2024-04,-0.09312000893505333
HDFCLIFE,2024-04,-0.08050413548641201
APOLLOHOSP,2024-04,-0.07900422006272015
SUNPHARMA,2024-04,-0.07804204388522332
TATAMOTORS,2024-05,-0.10196536291107215
TITAN,2024-05,-0.09151031960655179
SHRIRAMFIN,2024-05,-0.0883195848340497
DRREDDY,2024-05,-0.07883101391650107
ONGC,2024-05,-0.0652404526166902
ADANIENT,2024-06,-0.12841368904739042
LT,2024-06,-0.08947564245666711
BPCL,2024-06,-0.08745646691485529
COALINDIA,2024-06,-0.07651019810676304
ADANIPORTS,2024-06,-0.06682660437513818
AXISBANK,2024-07,-0.07591726761233075
BAJFINANCE,2024-07,-0.06456178926031542
HDFCBANK,2024-07,-0.052457189772460736
TATASTEEL,2024-07,-0.050209685758602754
NESTLEIND,2024-07,-0.043514660644055916
MARUTI,2024-08,-0.07156571762213626
ADANIPORTS,2024-08,-0.06807533880451529
POWERGRID,2024-08,-0.06563278870119092
TATASTEEL,2024-08,-0.0631669324175151
ADANIENT,2024-08,-0.061512161007071284
TATAMOTORS,2024-09,-0.10799432572186894
ONGC,2024-09,-0.08767627222562835
TCS,2024-09,-0.055860917264794724
INFY,2024-09,-0.045253245100534537
TECHM,2024-09,-0.042176540248383104
INDUSINDBK,2024-10,-0.2511881960700859
BAJAJ-AUTO,2024-10,-0.1909240835866075
NESTLEIND,2024-10,-0.16405312055558646
TATACONSUM,2024-10,-0.16192267502612334
MARUTI,2024-10,-0.15870803584991638
ADANIENT,2024-11,-0.24461773181895236
ADANIPORTS,2024-11,-0.18477481353987382
ASIANPAINT,2024-11,-0.15907274180655478
BRITANNIA,2024-11,-0.14837389448538127
NTPC,2024-11,-0.11158380940804676
