Ticker,month,monthly_return
TRENT,2023-11,0.26817282096785194
HEROMOTOCO,2023-11,0.23495933644844716
BPCL,2023-11,0.22079013729335953
EICHERMOT,2023-11,0.1872648335745297
APOLLOHOSP,2023-11,0.15269308148565106
BEL,2023-12,0.24923702950152596
ADANIPORTS,2023-12,0.2374365788837883
ADANIENT,2023-12,0.20580268337071997
HINDALCO,2023-12,0.1888051044083526
ULTRACEMCO,2023-12,0.16262722980788916
ONGC,2024-01,0.22839055271487707
SHRIRAMFIN,2024-01,0.2039924835883546
BHARTIARTL,2024-01,0.1556191698336707
ADANIPORTS,2024-01,0.15250274371331793
BAJAJ-AUTO,2024-01,0.14422259032099205
TRENT,2024-02,0.2510635554982596
BPCL,2024-02,0.18762537859418643
M&M,2024-02,0.1703358265451352
SBIN,2024-02,0.1550992048174169
SUNPHARMA,2024-02,0.12074292410952094
BAJAJ-AUTO,2024-03,0.137822525979316
BAJFINANCE,2024-03,0.10253444825723397
BHARTIARTL,2024-03,0.0885089040489057
MARUTI,2024-03,0.08427882402041137
HINDALCO,2024-03,0.0792718166056636
EICHERMOT,2024-04,0.16488667604170615
TRENT,2024-04,0.1345837192549139
HINDALCO,2024-04,0.1333098839254308
M&M,2024-04,0.12547300294892866
BEL,2024-04,0.1072951207958314
BEL,2024-05,0.260702875399361
M&M,2024-05,0.1469464338832574
HEROMOTOCO,2024-05,0.12235010413241267
ADANIENT,2024-05,0.12230227661534412
BRITANNIA,2024-05,0.08827329740632202
TRENT,2024-06,0.175378576637639
SHRIRAMFIN,2024-06,0.16035310762608848
WIPRO,2024-06,0.15931096599864894
TECHM,2024-06,0.14855261573051753
GRASIM,2024-06,0.12734295845997956
ONGC,2024-07,0.22440007327349332
HDFCLIFE,2024-07,0.19101123595505617
INFY,2024-07,0.1744091023384461
SBILIFE,2024-07,0.16765988614042693
ITC,2024-07,0.15452744435380494
TRENT,2024-08,0.24051258057808272
BAJAJ-AUTO,2024-08,0.11932069266738599
BAJAJFINSV,2024-08,0.09068387570344996
SHRIRAMFIN,2024-08,0.0720080287697583
CIPLA,2024-08,0.07030138403828744
M&M,2024-09,0.11447605329492261
BAJAJ-AUTO,2024-09,0.10963859753192946
SHRIRAMFIN,2024-09,0.10904581040229434
HINDALCO,2024-09,0.10571721011843847
TATASTEEL,2024-09,0.10249869178440618
SBIN,2024-10,0.029173724825898736
HDFCLIFE,2024-10,0.014010137989298692
ICICIBANK,2024-10,0.01400659133709974
WIPRO,2024-10,0.009236396890717796
HDFCBANK,2024-10,0.005503417912177036
TECHM,2024-11,0.08967043931032329
INFY,2024-11,0.08030212681375477
HCLTECH,2024-11,0.08023216114714919
M&M,2024-11,0.06931308004897689
TCS,2024-11,0.06535816475076567
